alert_id,application,alert_timestamp,alert_type,severity,root_cause,resolution_steps,mean_time_to_detect,mean_time_to_resolve,escalated,resolved_by,change_implemented,post_resolution_status,text
ALERT-32900,NotificationService,28/05/2024 00:00,Delayed Response Time,High,Slow database queries,Optimize DB queries,16,78,Yes,Support Engineer,Infrastructure Scaling,Closed,28/05/2024 00:00 Delayed Response Time Optimize DB queries NotificationService High Slow database queries Infrastructure Scaling Closed
ALERT-81461,LoanProcessing,28/12/2024 00:00,High CPU Usage,High,Unexpected traffic spike,Auto-scale infrastructure,24,73,No,Support Engineer,Network Rerouting,Closed,28/12/2024 00:00 High CPU Usage Auto-scale infrastructure LoanProcessing High Unexpected traffic spike Network Rerouting Closed
ALERT-90051,LoanProcessing,24/09/2024 00:00,High CPU Usage,High,"Inefficient code (infinite loops, unoptimized queries)",Restart impacted services,10,102,No,Infrastructure Team,Infrastructure Scaling,Resolved,"24/09/2024 00:00 High CPU Usage Restart impacted services LoanProcessing High Inefficient code (infinite loops, unoptimized queries) Infrastructure Scaling Resolved"
ALERT-93358,InventoryService,04/01/2025 00:00,Service Unavailability,Critical,Network connectivity issues,Restart service automatically,20,71,Yes,Infrastructure Team,Database Indexing,Monitoring,04/01/2025 00:00 Service Unavailability Restart service automatically InventoryService Critical Network connectivity issues Database Indexing Monitoring
ALERT-42159,BankingApp,03/11/2024 00:00,High CPU Usage,Critical,"Inefficient code (infinite loops, unoptimized queries)",Restart impacted services,13,28,Yes,Infrastructure Team,Code Fix,Reoccurred,"03/11/2024 00:00 High CPU Usage Restart impacted services BankingApp Critical Inefficient code (infinite loops, unoptimized queries) Code Fix Reoccurred"
ALERT-75535,NotificationService,16/06/2024 00:00,Delayed Response Time,Medium,Slow database queries,Optimize DB queries,23,82,Yes,Infrastructure Team,Network Rerouting,Partially Fixed,16/06/2024 00:00 Delayed Response Time Optimize DB queries NotificationService Medium Slow database queries Network Rerouting Partially Fixed
ALERT-44603,BankingApp,30/09/2024 00:00,Service Unavailability,Critical,Deployment issues breaking services,Restart service automatically,24,115,Yes,Support Engineer,Database Indexing,Partially Fixed,30/09/2024 00:00 Service Unavailability Restart service automatically BankingApp Critical Deployment issues breaking services Database Indexing Partially Fixed
ALERT-15125,NotificationService,05/06/2024 00:00,High CPU Usage,High,Unexpected traffic spike,Optimize queries and code,7,112,Yes,Support Engineer,,Reoccurred,05/06/2024 00:00 High CPU Usage Optimize queries and code NotificationService High Unexpected traffic spike  Reoccurred
ALERT-56056,InsuranceApp,03/08/2024 00:00,API Failure - 500 Error Surge,High,Service down,Restart failing microservices,1,42,Yes,Automated System,,Reoccurred,03/08/2024 00:00 API Failure - 500 Error Surge Restart failing microservices InsuranceApp High Service down  Reoccurred
ALERT-67924,InsuranceApp,15/07/2024 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Restart failing microservices,14,42,No,Support Engineer,Code Fix,Monitoring,15/07/2024 00:00 API Failure - 500 Error Surge Restart failing microservices InsuranceApp High High API traffic exceeding rate limits Code Fix Monitoring
ALERT-33071,InsuranceApp,03/06/2024 00:00,Service Unavailability,High,Deployment issues breaking services,Restart service automatically,13,35,No,Automated System,Infrastructure Scaling,Resolved,03/06/2024 00:00 Service Unavailability Restart service automatically InsuranceApp High Deployment issues breaking services Infrastructure Scaling Resolved
ALERT-91392,LoanProcessing,15/05/2024 00:00,Delayed Response Time,High,Network congestion,Scale application infrastructure,12,118,Yes,Automated System,Network Rerouting,Partially Fixed,15/05/2024 00:00 Delayed Response Time Scale application infrastructure LoanProcessing High Network congestion Network Rerouting Partially Fixed
ALERT-47308,NotificationService,05/07/2024 00:00,Memory Leak Detected,High,High number of background processes,Restart affected services,24,113,No,Automated System,Network Rerouting,Resolved,05/07/2024 00:00 Memory Leak Detected Restart affected services NotificationService High High number of background processes Network Rerouting Resolved
ALERT-45837,InsuranceApp,28/03/2025 00:00,Database Performance Issues,Critical,High DB connections,Scale database resources,11,68,Yes,Infrastructure Team,Database Indexing,Monitoring,28/03/2025 00:00 Database Performance Issues Scale database resources InsuranceApp Critical High DB connections Database Indexing Monitoring
ALERT-71989,InsuranceApp,13/06/2024 00:00,Service Unavailability,High,Server crash or unexpected shutdown,Restart service automatically,20,23,No,Infrastructure Team,Network Rerouting,Reoccurred,13/06/2024 00:00 Service Unavailability Restart service automatically InsuranceApp High Server crash or unexpected shutdown Network Rerouting Reoccurred
ALERT-40062,PaymentGateway,25/03/2025 00:00,High CPU Usage,Medium,Memory leaks,Optimize queries and code,12,112,Yes,Automated System,,Reoccurred,25/03/2025 00:00 High CPU Usage Optimize queries and code PaymentGateway Medium Memory leaks  Reoccurred
ALERT-64940,NotificationService,25/02/2025 00:00,Service Unavailability,High,Server crash or unexpected shutdown,Rollback recent deployments,4,46,No,Automated System,,Reoccurred,25/02/2025 00:00 Service Unavailability Rollback recent deployments NotificationService High Server crash or unexpected shutdown  Reoccurred
ALERT-68968,PaymentGateway,25/04/2024 00:00,Database Performance Issues,High,High DB connections,Scale database resources,8,61,Yes,Infrastructure Team,Infrastructure Scaling,Resolved,25/04/2024 00:00 Database Performance Issues Scale database resources PaymentGateway High High DB connections Infrastructure Scaling Resolved
ALERT-72380,LoanProcessing,15/12/2024 00:00,API Failure - 500 Error Surge,Critical,High API traffic exceeding rate limits,Scale up backend services,11,119,Yes,Automated System,Network Rerouting,Closed,15/12/2024 00:00 API Failure - 500 Error Surge Scale up backend services LoanProcessing Critical High API traffic exceeding rate limits Network Rerouting Closed
ALERT-18356,InsuranceApp,07/10/2024 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Restart failing microservices,17,116,No,Support Engineer,Network Rerouting,Closed,07/10/2024 00:00 API Failure - 500 Error Surge Restart failing microservices InsuranceApp High High API traffic exceeding rate limits Network Rerouting Closed
ALERT-81512,NotificationService,07/10/2024 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Scale up backend services,19,66,No,Automated System,Code Fix,Closed,07/10/2024 00:00 API Failure - 500 Error Surge Scale up backend services NotificationService High High API traffic exceeding rate limits Code Fix Closed
ALERT-59444,InventoryService,27/09/2024 00:00,Memory Leak Detected,High,High number of background processes,Fix memory leaks in code,15,48,No,Support Engineer,Database Indexing,Reoccurred,27/09/2024 00:00 Memory Leak Detected Fix memory leaks in code InventoryService High High number of background processes Database Indexing Reoccurred
ALERT-24840,LoanProcessing,11/02/2025 00:00,API Failure - 500 Error Surge,High,Service down,Restart failing microservices,21,90,Yes,Infrastructure Team,Code Fix,Reoccurred,11/02/2025 00:00 API Failure - 500 Error Surge Restart failing microservices LoanProcessing High Service down Code Fix Reoccurred
ALERT-76031,NotificationService,06/02/2025 00:00,API Failure - 500 Error Surge,High,Service down,Scale up backend services,17,76,Yes,Infrastructure Team,,Monitoring,06/02/2025 00:00 API Failure - 500 Error Surge Scale up backend services NotificationService High Service down  Monitoring
ALERT-57901,PaymentGateway,04/05/2024 00:00,Service Unavailability,Critical,Server crash or unexpected shutdown,Restart service automatically,13,105,Yes,Infrastructure Team,Code Fix,Resolved,04/05/2024 00:00 Service Unavailability Restart service automatically PaymentGateway Critical Server crash or unexpected shutdown Code Fix Resolved
ALERT-70992,InventoryService,15/09/2024 00:00,Database Performance Issues,High,Unoptimized SQL Queries,Scale database resources,9,117,No,Support Engineer,Network Rerouting,Partially Fixed,15/09/2024 00:00 Database Performance Issues Scale database resources InventoryService High Unoptimized SQL Queries Network Rerouting Partially Fixed
ALERT-71895,InsuranceApp,04/05/2024 00:00,Delayed Response Time,High,Network congestion,Implement caching mechanisms,6,119,No,Infrastructure Team,Infrastructure Scaling,Reoccurred,04/05/2024 00:00 Delayed Response Time Implement caching mechanisms InsuranceApp High Network congestion Infrastructure Scaling Reoccurred
ALERT-51991,InsuranceApp,09/01/2025 00:00,Memory Leak Detected,Critical,High number of background processes,Improve memory management,20,58,Yes,Infrastructure Team,,Monitoring,09/01/2025 00:00 Memory Leak Detected Improve memory management InsuranceApp Critical High number of background processes  Monitoring
ALERT-40515,InventoryService,22/06/2024 00:00,API Failure - 500 Error Surge,Critical,Service down,Restart failing microservices,13,99,No,Automated System,,Resolved,22/06/2024 00:00 API Failure - 500 Error Surge Restart failing microservices InventoryService Critical Service down  Resolved
ALERT-74205,PaymentGateway,30/10/2024 00:00,Database Performance Issues,Critical,High DB connections,Optimize queries and add indexing,11,83,Yes,Support Engineer,Infrastructure Scaling,Reoccurred,30/10/2024 00:00 Database Performance Issues Optimize queries and add indexing PaymentGateway Critical High DB connections Infrastructure Scaling Reoccurred
ALERT-94061,NotificationService,15/09/2024 00:00,Delayed Response Time,High,Backend service delays,Optimize DB queries,22,87,No,Infrastructure Team,,Monitoring,15/09/2024 00:00 Delayed Response Time Optimize DB queries NotificationService High Backend service delays  Monitoring
ALERT-41350,LoanProcessing,30/12/2024 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Scale up backend services,21,39,No,Support Engineer,Database Indexing,Monitoring,30/12/2024 00:00 API Failure - 500 Error Surge Scale up backend services LoanProcessing High High API traffic exceeding rate limits Database Indexing Monitoring
ALERT-13427,NotificationService,31/08/2024 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Scale up backend services,1,71,No,Infrastructure Team,Database Indexing,Partially Fixed,31/08/2024 00:00 API Failure - 500 Error Surge Scale up backend services NotificationService High High API traffic exceeding rate limits Database Indexing Partially Fixed
ALERT-82838,InsuranceApp,02/11/2024 00:00,Memory Leak Detected,Critical,High number of background processes,Fix memory leaks in code,23,40,No,Support Engineer,Infrastructure Scaling,Resolved,02/11/2024 00:00 Memory Leak Detected Fix memory leaks in code InsuranceApp Critical High number of background processes Infrastructure Scaling Resolved
ALERT-72260,InventoryService,07/12/2024 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Scale up backend services,18,58,No,Support Engineer,Database Indexing,Resolved,07/12/2024 00:00 API Failure - 500 Error Surge Scale up backend services InventoryService High High API traffic exceeding rate limits Database Indexing Resolved
ALERT-78073,InsuranceApp,29/10/2024 00:00,API Failure - 500 Error Surge,Critical,High API traffic exceeding rate limits,Restart failing microservices,2,37,No,Support Engineer,Network Rerouting,Closed,29/10/2024 00:00 API Failure - 500 Error Surge Restart failing microservices InsuranceApp Critical High API traffic exceeding rate limits Network Rerouting Closed
ALERT-62685,InventoryService,22/01/2025 00:00,High CPU Usage,High,Unexpected traffic spike,Restart impacted services,2,107,Yes,Infrastructure Team,Code Fix,Reoccurred,22/01/2025 00:00 High CPU Usage Restart impacted services InventoryService High Unexpected traffic spike Code Fix Reoccurred
ALERT-34031,BankingApp,02/11/2024 00:00,High CPU Usage,Medium,Memory leaks,Auto-scale infrastructure,19,22,No,Infrastructure Team,Network Rerouting,Reoccurred,02/11/2024 00:00 High CPU Usage Auto-scale infrastructure BankingApp Medium Memory leaks Network Rerouting Reoccurred
ALERT-58695,InventoryService,22/09/2024 00:00,Memory Leak Detected,Critical,Unreleased objects in application code,Fix memory leaks in code,13,31,No,Support Engineer,Network Rerouting,Partially Fixed,22/09/2024 00:00 Memory Leak Detected Fix memory leaks in code InventoryService Critical Unreleased objects in application code Network Rerouting Partially Fixed
ALERT-39526,NotificationService,23/11/2024 00:00,Delayed Response Time,High,High server load,Scale application infrastructure,8,115,Yes,Support Engineer,,Partially Fixed,23/11/2024 00:00 Delayed Response Time Scale application infrastructure NotificationService High High server load  Partially Fixed
ALERT-11118,LoanProcessing,30/11/2024 00:00,High CPU Usage,Medium,Unexpected traffic spike,Auto-scale infrastructure,8,86,Yes,Support Engineer,Database Indexing,Resolved,30/11/2024 00:00 High CPU Usage Auto-scale infrastructure LoanProcessing Medium Unexpected traffic spike Database Indexing Resolved
ALERT-52423,LoanProcessing,13/10/2024 00:00,Memory Leak Detected,High,Unreleased objects in application code,Improve memory management,12,76,Yes,Infrastructure Team,Database Indexing,Reoccurred,13/10/2024 00:00 Memory Leak Detected Improve memory management LoanProcessing High Unreleased objects in application code Database Indexing Reoccurred
ALERT-64783,InventoryService,02/10/2024 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Scale up backend services,17,94,No,Automated System,Code Fix,Partially Fixed,02/10/2024 00:00 API Failure - 500 Error Surge Scale up backend services InventoryService High High API traffic exceeding rate limits Code Fix Partially Fixed
ALERT-78164,BankingApp,13/08/2024 00:00,Service Unavailability,Critical,Network connectivity issues,Restart service automatically,18,32,Yes,Automated System,,Partially Fixed,13/08/2024 00:00 Service Unavailability Restart service automatically BankingApp Critical Network connectivity issues  Partially Fixed
ALERT-51807,LoanProcessing,03/03/2025 00:00,High CPU Usage,High,Unexpected traffic spike,Optimize queries and code,15,93,No,Support Engineer,Database Indexing,Reoccurred,03/03/2025 00:00 High CPU Usage Optimize queries and code LoanProcessing High Unexpected traffic spike Database Indexing Reoccurred
ALERT-74327,BankingApp,18/05/2024 00:00,Database Performance Issues,High,Indexing issues,Optimize queries and add indexing,18,104,Yes,Infrastructure Team,Database Indexing,Closed,18/05/2024 00:00 Database Performance Issues Optimize queries and add indexing BankingApp High Indexing issues Database Indexing Closed
ALERT-11505,NotificationService,16/11/2024 00:00,Service Unavailability,Critical,Server crash or unexpected shutdown,Restart service automatically,22,100,No,Support Engineer,Database Indexing,Reoccurred,16/11/2024 00:00 Service Unavailability Restart service automatically NotificationService Critical Server crash or unexpected shutdown Database Indexing Reoccurred
ALERT-20780,LoanProcessing,17/06/2024 00:00,Database Performance Issues,High,High DB connections,Scale database resources,6,41,Yes,Support Engineer,,Resolved,17/06/2024 00:00 Database Performance Issues Scale database resources LoanProcessing High High DB connections  Resolved
ALERT-99242,LoanProcessing,30/11/2024 00:00,API Failure - 500 Error Surge,High,Service down,Scale up backend services,24,58,Yes,Support Engineer,Code Fix,Monitoring,30/11/2024 00:00 API Failure - 500 Error Surge Scale up backend services LoanProcessing High Service down Code Fix Monitoring
ALERT-84629,InsuranceApp,03/08/2024 00:00,Memory Leak Detected,High,Unreleased objects in application code,Improve memory management,3,84,No,Support Engineer,,Reoccurred,03/08/2024 00:00 Memory Leak Detected Improve memory management InsuranceApp High Unreleased objects in application code  Reoccurred
ALERT-78118,PaymentGateway,16/12/2024 00:00,High CPU Usage,Critical,"Inefficient code (infinite loops, unoptimized queries)",Auto-scale infrastructure,14,104,No,Support Engineer,Code Fix,Monitoring,"16/12/2024 00:00 High CPU Usage Auto-scale infrastructure PaymentGateway Critical Inefficient code (infinite loops, unoptimized queries) Code Fix Monitoring"
ALERT-81762,NotificationService,08/08/2024 00:00,API Failure - 500 Error Surge,High,Service down,Scale up backend services,14,63,No,Automated System,Code Fix,Monitoring,08/08/2024 00:00 API Failure - 500 Error Surge Scale up backend services NotificationService High Service down Code Fix Monitoring
ALERT-45182,BankingApp,04/11/2024 00:00,Database Performance Issues,High,High DB connections,Kill long-running queries,22,74,No,Support Engineer,Database Indexing,Closed,04/11/2024 00:00 Database Performance Issues Kill long-running queries BankingApp High High DB connections Database Indexing Closed
ALERT-62949,InventoryService,10/12/2024 00:00,Service Unavailability,High,Server crash or unexpected shutdown,Rollback recent deployments,20,28,No,Infrastructure Team,Code Fix,Reoccurred,10/12/2024 00:00 Service Unavailability Rollback recent deployments InventoryService High Server crash or unexpected shutdown Code Fix Reoccurred
ALERT-70840,InsuranceApp,03/10/2024 00:00,Database Performance Issues,Critical,High DB connections,Scale database resources,24,88,Yes,Infrastructure Team,Database Indexing,Partially Fixed,03/10/2024 00:00 Database Performance Issues Scale database resources InsuranceApp Critical High DB connections Database Indexing Partially Fixed
ALERT-80250,NotificationService,30/07/2024 00:00,Memory Leak Detected,High,Unreleased objects in application code,Improve memory management,5,72,No,Support Engineer,Infrastructure Scaling,Closed,30/07/2024 00:00 Memory Leak Detected Improve memory management NotificationService High Unreleased objects in application code Infrastructure Scaling Closed
ALERT-36335,InsuranceApp,05/07/2024 00:00,Delayed Response Time,High,High server load,Implement caching mechanisms,20,67,Yes,Automated System,Infrastructure Scaling,Reoccurred,05/07/2024 00:00 Delayed Response Time Implement caching mechanisms InsuranceApp High High server load Infrastructure Scaling Reoccurred
ALERT-51907,InventoryService,10/04/2024 00:00,Database Performance Issues,Critical,High DB connections,Kill long-running queries,19,34,No,Support Engineer,Network Rerouting,Partially Fixed,10/04/2024 00:00 Database Performance Issues Kill long-running queries InventoryService Critical High DB connections Network Rerouting Partially Fixed
ALERT-84953,LoanProcessing,27/06/2024 00:00,Memory Leak Detected,Medium,Unreleased objects in application code,Improve memory management,11,38,No,Support Engineer,Code Fix,Resolved,27/06/2024 00:00 Memory Leak Detected Improve memory management LoanProcessing Medium Unreleased objects in application code Code Fix Resolved
ALERT-22761,InventoryService,01/11/2024 00:00,API Failure - 500 Error Surge,High,Service down,Scale up backend services,10,37,No,Support Engineer,,Closed,01/11/2024 00:00 API Failure - 500 Error Surge Scale up backend services InventoryService High Service down  Closed
ALERT-34948,NotificationService,09/01/2025 00:00,Delayed Response Time,High,Network congestion,Optimize DB queries,13,22,No,Support Engineer,Infrastructure Scaling,Resolved,09/01/2025 00:00 Delayed Response Time Optimize DB queries NotificationService High Network congestion Infrastructure Scaling Resolved
ALERT-84071,LoanProcessing,25/07/2024 00:00,Delayed Response Time,Medium,Backend service delays,Optimize DB queries,12,88,No,Infrastructure Team,Database Indexing,Resolved,25/07/2024 00:00 Delayed Response Time Optimize DB queries LoanProcessing Medium Backend service delays Database Indexing Resolved
ALERT-97197,InsuranceApp,02/08/2024 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Scale up backend services,13,77,Yes,Infrastructure Team,,Reoccurred,02/08/2024 00:00 API Failure - 500 Error Surge Scale up backend services InsuranceApp High High API traffic exceeding rate limits  Reoccurred
ALERT-70151,PaymentGateway,22/06/2024 00:00,Delayed Response Time,Medium,High server load,Implement caching mechanisms,24,105,No,Infrastructure Team,Database Indexing,Reoccurred,22/06/2024 00:00 Delayed Response Time Implement caching mechanisms PaymentGateway Medium High server load Database Indexing Reoccurred
ALERT-90021,InsuranceApp,06/03/2025 00:00,Memory Leak Detected,Critical,Unreleased objects in application code,Fix memory leaks in code,6,88,Yes,Automated System,Network Rerouting,Resolved,06/03/2025 00:00 Memory Leak Detected Fix memory leaks in code InsuranceApp Critical Unreleased objects in application code Network Rerouting Resolved
ALERT-39584,InsuranceApp,04/06/2024 00:00,High CPU Usage,Critical,Memory leaks,Auto-scale infrastructure,6,40,No,Support Engineer,Network Rerouting,Closed,04/06/2024 00:00 High CPU Usage Auto-scale infrastructure InsuranceApp Critical Memory leaks Network Rerouting Closed
ALERT-50133,PaymentGateway,05/10/2024 00:00,Service Unavailability,Critical,Network connectivity issues,Rollback recent deployments,18,29,Yes,Support Engineer,Infrastructure Scaling,Resolved,05/10/2024 00:00 Service Unavailability Rollback recent deployments PaymentGateway Critical Network connectivity issues Infrastructure Scaling Resolved
ALERT-88072,PaymentGateway,09/04/2024 00:00,API Failure - 500 Error Surge,High,Service down,Scale up backend services,5,27,No,Infrastructure Team,Network Rerouting,Partially Fixed,09/04/2024 00:00 API Failure - 500 Error Surge Scale up backend services PaymentGateway High Service down Network Rerouting Partially Fixed
ALERT-61726,PaymentGateway,05/11/2024 00:00,High CPU Usage,High,Memory leaks,Optimize queries and code,3,78,No,Support Engineer,Database Indexing,Closed,05/11/2024 00:00 High CPU Usage Optimize queries and code PaymentGateway High Memory leaks Database Indexing Closed
ALERT-32416,InventoryService,17/06/2024 00:00,High CPU Usage,Medium,Unexpected traffic spike,Restart impacted services,3,83,No,Automated System,Network Rerouting,Resolved,17/06/2024 00:00 High CPU Usage Restart impacted services InventoryService Medium Unexpected traffic spike Network Rerouting Resolved
ALERT-98098,LoanProcessing,03/01/2025 00:00,Service Unavailability,High,Network connectivity issues,Investigate network issues,4,45,Yes,Support Engineer,Database Indexing,Reoccurred,03/01/2025 00:00 Service Unavailability Investigate network issues LoanProcessing High Network connectivity issues Database Indexing Reoccurred
ALERT-59663,InsuranceApp,21/09/2024 00:00,High CPU Usage,Critical,Unexpected traffic spike,Optimize queries and code,6,44,Yes,Infrastructure Team,Database Indexing,Resolved,21/09/2024 00:00 High CPU Usage Optimize queries and code InsuranceApp Critical Unexpected traffic spike Database Indexing Resolved
ALERT-59896,InsuranceApp,28/07/2024 00:00,Memory Leak Detected,Medium,High number of background processes,Restart affected services,23,48,Yes,Support Engineer,Code Fix,Reoccurred,28/07/2024 00:00 Memory Leak Detected Restart affected services InsuranceApp Medium High number of background processes Code Fix Reoccurred
ALERT-67440,PaymentGateway,14/10/2024 00:00,Delayed Response Time,High,High server load,Optimize DB queries,19,113,Yes,Automated System,Infrastructure Scaling,Partially Fixed,14/10/2024 00:00 Delayed Response Time Optimize DB queries PaymentGateway High High server load Infrastructure Scaling Partially Fixed
ALERT-62923,BankingApp,16/06/2024 00:00,Service Unavailability,High,Deployment issues breaking services,Investigate network issues,22,35,No,Infrastructure Team,Code Fix,Reoccurred,16/06/2024 00:00 Service Unavailability Investigate network issues BankingApp High Deployment issues breaking services Code Fix Reoccurred
ALERT-83753,InventoryService,20/12/2024 00:00,Delayed Response Time,High,High server load,Scale application infrastructure,7,106,No,Infrastructure Team,Code Fix,Closed,20/12/2024 00:00 Delayed Response Time Scale application infrastructure InventoryService High High server load Code Fix Closed
ALERT-38551,InventoryService,20/11/2024 00:00,Delayed Response Time,Medium,Network congestion,Scale application infrastructure,8,101,No,Automated System,Database Indexing,Reoccurred,20/11/2024 00:00 Delayed Response Time Scale application infrastructure InventoryService Medium Network congestion Database Indexing Reoccurred
ALERT-96516,BankingApp,14/07/2024 00:00,Delayed Response Time,Medium,Network congestion,Scale application infrastructure,19,31,No,Automated System,Infrastructure Scaling,Partially Fixed,14/07/2024 00:00 Delayed Response Time Scale application infrastructure BankingApp Medium Network congestion Infrastructure Scaling Partially Fixed
ALERT-99917,InventoryService,13/08/2024 00:00,API Failure - 500 Error Surge,Critical,Service down,Scale up backend services,22,113,No,Infrastructure Team,Code Fix,Monitoring,13/08/2024 00:00 API Failure - 500 Error Surge Scale up backend services InventoryService Critical Service down Code Fix Monitoring
ALERT-66359,BankingApp,24/02/2025 00:00,API Failure - 500 Error Surge,Critical,Service down,Restart failing microservices,4,103,Yes,Support Engineer,,Partially Fixed,24/02/2025 00:00 API Failure - 500 Error Surge Restart failing microservices BankingApp Critical Service down  Partially Fixed
ALERT-64317,LoanProcessing,14/09/2024 00:00,High CPU Usage,Medium,Unexpected traffic spike,Restart impacted services,16,29,Yes,Automated System,Code Fix,Partially Fixed,14/09/2024 00:00 High CPU Usage Restart impacted services LoanProcessing Medium Unexpected traffic spike Code Fix Partially Fixed
ALERT-20934,BankingApp,30/09/2024 00:00,Delayed Response Time,Medium,Backend service delays,Optimize DB queries,23,88,No,Support Engineer,Network Rerouting,Resolved,30/09/2024 00:00 Delayed Response Time Optimize DB queries BankingApp Medium Backend service delays Network Rerouting Resolved
ALERT-76694,LoanProcessing,09/08/2024 00:00,Delayed Response Time,High,Slow database queries,Scale application infrastructure,2,115,Yes,Automated System,Network Rerouting,Partially Fixed,09/08/2024 00:00 Delayed Response Time Scale application infrastructure LoanProcessing High Slow database queries Network Rerouting Partially Fixed
ALERT-18108,NotificationService,23/03/2025 00:00,Service Unavailability,Critical,Server crash or unexpected shutdown,Investigate network issues,3,105,Yes,Automated System,Code Fix,Monitoring,23/03/2025 00:00 Service Unavailability Investigate network issues NotificationService Critical Server crash or unexpected shutdown Code Fix Monitoring
ALERT-42037,InventoryService,19/03/2025 00:00,API Failure - 500 Error Surge,High,Service down,Scale up backend services,8,49,Yes,Automated System,,Resolved,19/03/2025 00:00 API Failure - 500 Error Surge Scale up backend services InventoryService High Service down  Resolved
ALERT-96630,InventoryService,04/03/2025 00:00,High CPU Usage,Medium,Unexpected traffic spike,Restart impacted services,9,99,Yes,Automated System,,Resolved,04/03/2025 00:00 High CPU Usage Restart impacted services InventoryService Medium Unexpected traffic spike  Resolved
ALERT-71956,NotificationService,19/03/2025 00:00,High CPU Usage,Medium,"Inefficient code (infinite loops, unoptimized queries)",Optimize queries and code,6,24,No,Infrastructure Team,Code Fix,Monitoring,"19/03/2025 00:00 High CPU Usage Optimize queries and code NotificationService Medium Inefficient code (infinite loops, unoptimized queries) Code Fix Monitoring"
ALERT-35129,InsuranceApp,15/05/2024 00:00,API Failure - 500 Error Surge,Critical,High API traffic exceeding rate limits,Restart failing microservices,24,45,No,Automated System,Infrastructure Scaling,Resolved,15/05/2024 00:00 API Failure - 500 Error Surge Restart failing microservices InsuranceApp Critical High API traffic exceeding rate limits Infrastructure Scaling Resolved
ALERT-27459,LoanProcessing,04/11/2024 00:00,Memory Leak Detected,Critical,Unreleased objects in application code,Restart affected services,13,21,Yes,Automated System,Code Fix,Closed,04/11/2024 00:00 Memory Leak Detected Restart affected services LoanProcessing Critical Unreleased objects in application code Code Fix Closed
ALERT-58564,LoanProcessing,23/08/2024 00:00,High CPU Usage,High,"Inefficient code (infinite loops, unoptimized queries)",Auto-scale infrastructure,3,24,No,Automated System,Infrastructure Scaling,Resolved,"23/08/2024 00:00 High CPU Usage Auto-scale infrastructure LoanProcessing High Inefficient code (infinite loops, unoptimized queries) Infrastructure Scaling Resolved"
ALERT-50399,BankingApp,27/01/2025 00:00,Memory Leak Detected,Medium,High number of background processes,Fix memory leaks in code,8,90,No,Support Engineer,Network Rerouting,Resolved,27/01/2025 00:00 Memory Leak Detected Fix memory leaks in code BankingApp Medium High number of background processes Network Rerouting Resolved
ALERT-62419,InventoryService,08/06/2024 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Scale up backend services,7,65,No,Automated System,Network Rerouting,Resolved,08/06/2024 00:00 API Failure - 500 Error Surge Scale up backend services InventoryService High High API traffic exceeding rate limits Network Rerouting Resolved
ALERT-54765,PaymentGateway,01/08/2024 00:00,Delayed Response Time,Medium,Slow database queries,Scale application infrastructure,22,84,No,Automated System,Network Rerouting,Closed,01/08/2024 00:00 Delayed Response Time Scale application infrastructure PaymentGateway Medium Slow database queries Network Rerouting Closed
ALERT-73783,BankingApp,05/07/2024 00:00,API Failure - 500 Error Surge,Critical,Service down,Scale up backend services,20,49,No,Automated System,,Reoccurred,05/07/2024 00:00 API Failure - 500 Error Surge Scale up backend services BankingApp Critical Service down  Reoccurred
ALERT-99935,NotificationService,28/06/2024 00:00,Memory Leak Detected,Critical,High number of background processes,Fix memory leaks in code,16,96,Yes,Infrastructure Team,Code Fix,Closed,28/06/2024 00:00 Memory Leak Detected Fix memory leaks in code NotificationService Critical High number of background processes Code Fix Closed
ALERT-39917,NotificationService,08/05/2024 00:00,Memory Leak Detected,Medium,High number of background processes,Restart affected services,19,93,No,Support Engineer,Infrastructure Scaling,Closed,08/05/2024 00:00 Memory Leak Detected Restart affected services NotificationService Medium High number of background processes Infrastructure Scaling Closed
ALERT-65848,BankingApp,20/03/2025 00:00,High CPU Usage,Medium,"Inefficient code (infinite loops, unoptimized queries)",Restart impacted services,22,27,Yes,Infrastructure Team,Infrastructure Scaling,Resolved,"20/03/2025 00:00 High CPU Usage Restart impacted services BankingApp Medium Inefficient code (infinite loops, unoptimized queries) Infrastructure Scaling Resolved"
ALERT-22469,LoanProcessing,12/03/2025 00:00,Delayed Response Time,High,Network congestion,Optimize DB queries,1,106,Yes,Infrastructure Team,Code Fix,Monitoring,12/03/2025 00:00 Delayed Response Time Optimize DB queries LoanProcessing High Network congestion Code Fix Monitoring
ALERT-78625,InventoryService,16/01/2025 00:00,Service Unavailability,Critical,Server crash or unexpected shutdown,Restart service automatically,12,74,No,Automated System,,Closed,16/01/2025 00:00 Service Unavailability Restart service automatically InventoryService Critical Server crash or unexpected shutdown  Closed
